text,severity,affected_population,scope,predicted_severity,prediction_confidence
"Varanasi, Uttar Pradesh ke industrial context mein urban heat ka issue report hua hai. Patients bolte hain ki service works for some users but not others hai, aur reactive maintenance ki wajah se response stable rakhna difficult hota hai. Iska effect delayed decision-making ke form mein dikhta hai, especially monsoon season ke time. First step review the operating schedule hona chahiye.
Affected population: 15
Scope: LOCAL",LOW,15,LOCAL,CRITICAL,0.34005574087136764
"A community report describes STEM facilities in Kohima, Nagaland. Municipal workers say the service has uneven coverage, particularly during dry season. The operating context is affected by reactive maintenance, which can result in delayed decision-making. The immediate task is to collect field evidence and verify the outcome.
Affected population: 300
Scope: VILLAGE",MEDIUM,300,VILLAGE,CRITICAL,0.3398636448453064
"Guwahati, Assam क्षेत्र में public transport से जुड़ी समस्या सामने आई है। tourism workers बताते हैं कि सेवा changes sharply by season और limited staffing के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर lost productive time के रूप में पड़ सकता है, खासकर monsoon season के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और improve follow-up tracking है।
Affected population: 15
Scope: LOCAL",HIGH,15,LOCAL,LOW,0.33981482283842857
"Nainital, Uttarakhand ke mountainous context mein recycling ka issue report hua hai. Farmers bolte hain ki service becomes unreliable after disruption hai, aur reactive maintenance ki wajah se response stable rakhna difficult hota hai. Iska effect greater exposure to avoidable risk ke form mein dikhta hai, especially holiday period ke time. First step repair the affected asset hona chahiye.
Affected population: 50
Scope: BLOCK",CRITICAL,50,BLOCK,LOW,0.339576571161224
"Haridwar, Uttarakhand ke forest context mein spring degradation ka issue report hua hai. Patients bolte hain ki service has uneven coverage hai, aur low network connectivity ki wajah se response stable rakhna difficult hota hai. Iska effect greater exposure to avoidable risk ke form mein dikhta hai, especially monsoon season ke time. First step reorganize collection or service routes hona chahiye.
Affected population: 50
Scope: BLOCK",LOW,50,BLOCK,CRITICAL,0.33957049840055675
"Kohima, Nagaland क्षेत्र में post-disaster assessment से जुड़ी समस्या सामने आई है। caregivers बताते हैं कि सेवा is hard to verify from available records और multiple responsible stakeholders के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर unequal access for people with fewer alternatives के रूप में पड़ सकता है, खासकर dry season के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और establish a clearer escalation path है।
Affected population: 300
Scope: VILLAGE",LOW,300,VILLAGE,MEDIUM,0.3393322659760107
"A community report describes rainwater harvesting in Varanasi, Uttar Pradesh. Market vendors say the service requires several manual follow-ups, particularly during peak visitor period. The operating context is affected by fragmented records, which can result in lost productive time. The immediate task is to prioritize inspections and verify the outcome.
Affected population: 15
Scope: LOCAL",HIGH,15,LOCAL,LOW,0.3387686521933234
"Community feedback from Guwahati points to freight movement. People say the service becomes unreliable after disruption, but the reason is not uniform: in this case, limited field data. The result is additional burden on caregivers. Rather than assume a technology solution, the first question is whether teams can map the service gap.
Affected population: 2500
Scope: WARD",CRITICAL,2500,WARD,MEDIUM,0.33871272770079586
"Ahmedabad, Gujarat ke agricultural context mein youth employment ka issue report hua hai. Patients bolte hain ki service works for some users but not others hai, aur reactive maintenance ki wajah se response stable rakhna difficult hota hai. Iska effect additional burden on caregivers ke form mein dikhta hai, especially summer peak ke time. First step prioritize inspections hona chahiye.
Affected population: 10000
Scope: CITY",MEDIUM,10000,CITY,LOW,0.338577676905776
"Kohima, Nagaland क्षेत्र में apprenticeship access से जुड़ी समस्या सामने आई है। farmers बताते हैं कि सेवा has uneven coverage और long travel distances के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर higher operating effort for local teams के रूप में पड़ सकता है, खासकर monsoon season के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और reorganize collection or service routes है।
Affected population: 300
Scope: VILLAGE",HIGH,300,VILLAGE,CRITICAL,0.33853195262825714
"Guwahati, Assam क्षेत्र में slope protection से जुड़ी समस्या सामने आई है। self-help groups बताते हैं कि सेवा creates queues और paper-heavy workflows के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर higher operating effort for local teams के रूप में पड़ सकता है, खासकर winter months के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और map the service gap है।
Affected population: 800
Scope: DISTRICT",CRITICAL,800,DISTRICT,MEDIUM,0.33845665468994307
"Vadodara, Gujarat ke river-valley context mein transport infrastructure ka issue report hua hai. Frontline workers bolte hain ki service has uneven coverage hai, aur variable resource availability ki wajah se response stable rakhna difficult hota hai. Iska effect additional burden on caregivers ke form mein dikhta hai, especially ordinary operating days ke time. First step map the service gap hona chahiye.
Affected population: 50
Scope: BLOCK",MEDIUM,50,BLOCK,HIGH,0.3383817831493357
"Udham Singh Nagar, Uttarakhand क्षेत्र में traffic congestion से जुड़ी समस्या सामने आई है। residents बताते हैं कि सेवा is hard to verify from available records और seasonal demand के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर delayed decision-making के रूप में पड़ सकता है, खासकर ordinary operating days के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और improve follow-up tracking है।
Affected population: 2500
Scope: WARD",HIGH,2500,WARD,CRITICAL,0.33816670679103883
"Kohima, Nagaland क्षेत्र में post-disaster assessment से जुड़ी समस्या सामने आई है। farmers बताते हैं कि सेवा becomes unpredictable at peak times और limited staffing के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर higher operating effort for local teams के रूप में पड़ सकता है, खासकर peak visitor period के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और map the service gap है।
Affected population: 2500
Scope: WARD",HIGH,2500,WARD,MEDIUM,0.33808632463374605
"Vadodara, Gujarat ke rural context mein biodiversity ka issue report hua hai. Frontline workers bolte hain ki service is difficult to monitor hai, aur weak monitoring ki wajah se response stable rakhna difficult hota hai. Iska effect unequal access for people with fewer alternatives ke form mein dikhta hai, especially harvest period ke time. First step map the service gap hona chahiye.
Affected population: 120
Scope: STATE",MEDIUM,120,STATE,HIGH,0.3380439407279942
"Rudraprayag, Uttarakhand ke tourism-heavy context mein youth employment ka issue report hua hai. Students bolte hain ki service returns after temporary fixes hai, aur seasonal demand ki wajah se response stable rakhna difficult hota hai. Iska effect higher access costs ke form mein dikhta hai, especially winter months ke time. First step reorganize collection or service routes hona chahiye.
Affected population: 2500
Scope: WARD",LOW,2500,WARD,CRITICAL,0.33802581314558827
"Champawat, Uttarakhand क्षेत्र में habitat loss से जुड़ी समस्या सामने आई है। local employers बताते हैं कि सेवा creates queues और scattered settlements के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर additional burden on caregivers के रूप में पड़ सकता है, खासकर summer peak के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और prioritize inspections है।
Affected population: 15
Scope: LOCAL",CRITICAL,15,LOCAL,MEDIUM,0.3380045855257215
"Kohima, Nagaland ke river-valley context mein illegal dumping ka issue report hua hai. Farmers bolte hain ki service creates queues hai, aur multiple responsible stakeholders ki wajah se response stable rakhna difficult hota hai. Iska effect reduced service continuity ke form mein dikhta hai, especially monsoon season ke time. First step collect field evidence hona chahiye.
Affected population: 800
Scope: DISTRICT",MEDIUM,800,DISTRICT,CRITICAL,0.3377597567590784
"A community report describes water pollution in Kohima, Nagaland. Market vendors say the service has uneven coverage, particularly during summer peak. The operating context is affected by incomplete inventories, which can result in unequal access for people with fewer alternatives. The immediate task is to review the operating schedule and verify the outcome.
Affected population: 300
Scope: VILLAGE",LOW,300,VILLAGE,CRITICAL,0.3377267574609316
"Community feedback from Guwahati points to hill transport. People say the service creates repeated delays, but the reason is not uniform: in this case, scattered settlements. The result is delayed decision-making. Rather than assume a technology solution, the first question is whether teams can evaluate a research prototype.
Affected population: 15
Scope: LOCAL",MEDIUM,15,LOCAL,LOW,0.33754324354303034
"Agra, Uttar Pradesh ke rural context mein apprenticeship access ka issue report hua hai. Patients bolte hain ki service is hard to verify from available records hai, aur long travel distances ki wajah se response stable rakhna difficult hota hai. Iska effect lost productive time ke form mein dikhta hai, especially dry season ke time. First step improve follow-up tracking hona chahiye.
Affected population: 10000
Scope: CITY",HIGH,10000,CITY,LOW,0.33737884215210034
"Tehri Garhwal, Uttarakhand ke pilgrimage context mein post-disaster assessment ka issue report hua hai. Residents bolte hain ki service changes sharply by season hai, aur weak monitoring ki wajah se response stable rakhna difficult hota hai. Iska effect reduced service continuity ke form mein dikhta hai, especially harvest period ke time. First step establish a clearer escalation path hona chahiye.
Affected population: 300
Scope: VILLAGE",HIGH,300,VILLAGE,MEDIUM,0.3373081064013802
"A community report describes spring degradation in Ahmedabad, Gujarat. Village representatives say the service is reported inconsistently, particularly during summer peak. The operating context is affected by limited staffing, which can result in delayed decision-making. The immediate task is to prioritize inspections and verify the outcome.
Affected population: 50
Scope: BLOCK",MEDIUM,50,BLOCK,LOW,0.33721519362267083
"Kohima, Nagaland ke urban context mein laboratory access ka issue report hua hai. Community volunteers bolte hain ki service returns after temporary fixes hai, aur paper-heavy workflows ki wajah se response stable rakhna difficult hota hai. Iska effect greater exposure to avoidable risk ke form mein dikhta hai, especially summer peak ke time. First step review the operating schedule hona chahiye.
Affected population: 50
Scope: BLOCK",LOW,50,BLOCK,CRITICAL,0.3371363564035198
"Community feedback from Agra points to waste tracking. People say the service causes avoidable travel, but the reason is not uniform: in this case, limited field data. The result is delayed decision-making. Rather than assume a technology solution, the first question is whether teams can improve follow-up tracking.
Affected population: 120
Scope: STATE",HIGH,120,STATE,CRITICAL,0.33697633447089936
"Community feedback from Surat points to hill transport. People say the service works for some users but not others, but the reason is not uniform: in this case, fragmented records. The result is greater exposure to avoidable risk. Rather than assume a technology solution, the first question is whether teams can collect field evidence.
Affected population: 50
Scope: BLOCK",LOW,50,BLOCK,CRITICAL,0.3369021270403447
"Dehradun, Uttarakhand ke urban context mein drinking-water continuity ka issue report hua hai. Tourism workers bolte hain ki service works for some users but not others hai, aur long travel distances ki wajah se response stable rakhna difficult hota hai. Iska effect longer waiting times ke form mein dikhta hai, especially dry season ke time. First step reorganize collection or service routes hona chahiye.
Affected population: 120
Scope: STATE",CRITICAL,120,STATE,LOW,0.3368165884253185
"Community feedback from Gorakhpur points to culverts. People say the service creates repeated delays, but the reason is not uniform: in this case, seasonal demand. The result is lost productive time. Rather than assume a technology solution, the first question is whether teams can verify field conditions.
Affected population: 120
Scope: STATE",LOW,120,STATE,HIGH,0.3367907082864788
"Champawat, Uttarakhand क्षेत्र में emergency communication से जुड़ी समस्या सामने आई है। field technicians बताते हैं कि सेवा requires several manual follow-ups और incomplete inventories के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर higher access costs के रूप में पड़ सकता है, खासकर holiday period के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और collect field evidence है।
Affected population: 10000
Scope: CITY",HIGH,10000,CITY,LOW,0.33667730129824175
"Guwahati, Assam क्षेत्र में early warning से जुड़ी समस्या सामने आई है। caregivers बताते हैं कि सेवा works for some users but not others और limited field data के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर difficulty planning around the service के रूप में पड़ सकता है, खासकर peak visitor period के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और redesign the workflow है।
Affected population: 120
Scope: STATE",LOW,120,STATE,HIGH,0.3358421088633117
"Community feedback from Prayagraj points to rural mobility. People say the service changes sharply by season, but the reason is not uniform: in this case, seasonal demand. The result is greater exposure to avoidable risk. Rather than assume a technology solution, the first question is whether teams can evaluate a research prototype.
Affected population: 120
Scope: STATE",CRITICAL,120,STATE,LOW,0.33577319202841954
"Community feedback from Dehradun points to transport infrastructure. People say the service changes sharply by season, but the reason is not uniform: in this case, variable resource availability. The result is additional burden on caregivers. Rather than assume a technology solution, the first question is whether teams can coordinate the responsible teams.
Affected population: 120
Scope: STATE",LOW,120,STATE,HIGH,0.3357668040231275
"A community report describes water pollution in Lucknow, Uttar Pradesh. Farmers say the service works for some users but not others, particularly during ordinary operating days. The operating context is affected by seasonal demand, which can result in reduced service continuity. The immediate task is to strengthen community reporting and verify the outcome.
Affected population: 120
Scope: STATE",CRITICAL,120,STATE,LOW,0.33532637307377794
"Agra, Uttar Pradesh ke river-valley context mein road connectivity ka issue report hua hai. Public transport users bolte hain ki service is reported inconsistently hai, aur limited staffing ki wajah se response stable rakhna difficult hota hai. Iska effect higher access costs ke form mein dikhta hai, especially post-disruption recovery ke time. First step establish a clearer escalation path hona chahiye.
Affected population: 2500
Scope: WARD",CRITICAL,2500,WARD,HIGH,0.33497662367612857
"Dehradun, Uttarakhand क्षेत्र में lake health से जुड़ी समस्या सामने आई है। municipal workers बताते हैं कि सेवा fails intermittently और limited staffing के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर lost productive time के रूप में पड़ सकता है, खासकर monsoon season के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और verify field conditions है।
Affected population: 2500
Scope: WARD",LOW,2500,WARD,MEDIUM,0.33497082411337825
"Kohima, Nagaland क्षेत्र में floods से जुड़ी समस्या सामने आई है। field technicians बताते हैं कि सेवा causes avoidable travel और incomplete inventories के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर delayed decision-making के रूप में पड़ सकता है, खासकर holiday period के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और collect field evidence है।
Affected population: 10000
Scope: CITY",MEDIUM,10000,CITY,LOW,0.334809234238891
"Community feedback from Guwahati points to rockfalls. People say the service becomes unpredictable at peak times, but the reason is not uniform: in this case, incomplete inventories. The result is lost productive time. Rather than assume a technology solution, the first question is whether teams can strengthen community reporting.
Affected population: 2500
Scope: WARD",LOW,2500,WARD,HIGH,0.33471019656046996
"Tehri Garhwal, Uttarakhand ke urban context mein public transport ka issue report hua hai. Local employers bolte hain ki service fails intermittently hai, aur low network connectivity ki wajah se response stable rakhna difficult hota hai. Iska effect unequal access for people with fewer alternatives ke form mein dikhta hai, especially post-disruption recovery ke time. First step pilot a monitoring process hona chahiye.
Affected population: 10000
Scope: CITY",LOW,10000,CITY,MEDIUM,0.3346442816797939
"Kohima, Nagaland ke urban context mein household waste collection ka issue report hua hai. Commuters bolte hain ki service creates repeated delays hai, aur incomplete inventories ki wajah se response stable rakhna difficult hota hai. Iska effect greater exposure to avoidable risk ke form mein dikhta hai, especially winter months ke time. First step collect field evidence hona chahiye.
Affected population: 50
Scope: BLOCK",MEDIUM,50,BLOCK,LOW,0.3346357866416503
"Bageshwar, Uttarakhand ke river-valley context mein evacuation ka issue report hua hai. Farmers bolte hain ki service creates repeated delays hai, aur low network connectivity ki wajah se response stable rakhna difficult hota hai. Iska effect lost productive time ke form mein dikhta hai, especially school term ke time. First step evaluate a research prototype hona chahiye.
Affected population: 120
Scope: STATE",MEDIUM,120,STATE,LOW,0.3344976046732778
"Gorakhpur, Uttar Pradesh क्षेत्र में bus availability से जुड़ी समस्या सामने आई है। farmers बताते हैं कि सेवा works for some users but not others और fragmented records के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर additional burden on caregivers के रूप में पड़ सकता है, खासकर school term के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और reorganize collection or service routes है।
Affected population: 50
Scope: BLOCK",MEDIUM,50,BLOCK,LOW,0.3344232575214731
"Gorakhpur, Uttar Pradesh क्षेत्र में remote water access से जुड़ी समस्या सामने आई है। students बताते हैं कि सेवा becomes unreliable after disruption और multiple responsible stakeholders के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर additional burden on caregivers के रूप में पड़ सकता है, खासकर dry season के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और reorganize collection or service routes है।
Affected population: 50
Scope: BLOCK",MEDIUM,50,BLOCK,LOW,0.3343291618054358
"Champawat, Uttarakhand क्षेत्र में illegal dumping से जुड़ी समस्या सामने आई है। patients बताते हैं कि सेवा is hard to verify from available records और reactive maintenance के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर higher access costs के रूप में पड़ सकता है, खासकर post-disruption recovery के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और coordinate the responsible teams है।
Affected population: 50
Scope: BLOCK",LOW,50,BLOCK,HIGH,0.33432659337559256
"Guwahati, Assam ke urban context mein vocational training ka issue report hua hai. Frontline workers bolte hain ki service returns after temporary fixes hai, aur low network connectivity ki wajah se response stable rakhna difficult hota hai. Iska effect difficulty planning around the service ke form mein dikhta hai, especially winter months ke time. First step review the operating schedule hona chahiye.
Affected population: 800
Scope: DISTRICT",MEDIUM,800,DISTRICT,CRITICAL,0.33426072549993907
"Ahmedabad, Gujarat क्षेत्र में evacuation से जुड़ी समस्या सामने आई है। students बताते हैं कि सेवा has uneven coverage और multiple responsible stakeholders के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर longer waiting times के रूप में पड़ सकता है, खासकर post-disruption recovery के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और verify field conditions है।
Affected population: 2500
Scope: WARD",CRITICAL,2500,WARD,MEDIUM,0.33419137594934895
"A community report describes flood-related contamination in Gorakhpur, Uttar Pradesh. Commuters say the service works for some users but not others, particularly during summer peak. The operating context is affected by incomplete inventories, which can result in unequal access for people with fewer alternatives. The immediate task is to reorganize collection or service routes and verify the outcome.
Affected population: 2500
Scope: WARD",MEDIUM,2500,WARD,LOW,0.3341825743466229
"A community report describes pipe leakage in Kohima, Nagaland. Caregivers say the service lacks timely status information, particularly during summer peak. The operating context is affected by long travel distances, which can result in higher operating effort for local teams. The immediate task is to strengthen community reporting and verify the outcome.
Affected population: 50
Scope: BLOCK",CRITICAL,50,BLOCK,HIGH,0.3340933767123804
"Vadodara, Gujarat ke rural context mein STEM facilities ka issue report hua hai. School staff bolte hain ki service is reported inconsistently hai, aur weak monitoring ki wajah se response stable rakhna difficult hota hai. Iska effect difficulty planning around the service ke form mein dikhta hai, especially monsoon season ke time. First step map the service gap hona chahiye.
Affected population: 2500
Scope: WARD",MEDIUM,2500,WARD,CRITICAL,0.3338018674083304
"Guwahati, Assam क्षेत्र में public transport से जुड़ी समस्या सामने आई है। caregivers बताते हैं कि सेवा returns after temporary fixes और reactive maintenance के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर difficulty planning around the service के रूप में पड़ सकता है, खासकर post-disruption recovery के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और evaluate a research prototype है।
Affected population: 10000
Scope: CITY",LOW,10000,CITY,MEDIUM,0.3336455054362338
"A community report describes community taps in Kohima, Nagaland. School staff say the service works for some users but not others, particularly during dry season. The operating context is affected by multiple responsible stakeholders, which can result in longer waiting times. The immediate task is to coordinate the responsible teams and verify the outcome.
Affected population: 15
Scope: LOCAL",MEDIUM,15,LOCAL,HIGH,0.33364375476158
"Udham Singh Nagar, Uttarakhand क्षेत्र में evacuation से जुड़ी समस्या सामने आई है। tourism workers बताते हैं कि सेवा returns after temporary fixes और limited field data के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर additional burden on caregivers के रूप में पड़ सकता है, खासकर summer peak के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और collect field evidence है।
Affected population: 800
Scope: DISTRICT",LOW,800,DISTRICT,CRITICAL,0.33351970960149674
"Kohima, Nagaland ke industrial context mein noise pollution ka issue report hua hai. Residents bolte hain ki service works for some users but not others hai, aur weak monitoring ki wajah se response stable rakhna difficult hota hai. Iska effect unequal access for people with fewer alternatives ke form mein dikhta hai, especially ordinary operating days ke time. First step reorganize collection or service routes hona chahiye.
Affected population: 2500
Scope: WARD",HIGH,2500,WARD,LOW,0.3333980753651559
"A community report describes biodiversity in Pithoragarh, Uttarakhand. Drivers say the service is reported inconsistently, particularly during summer peak. The operating context is affected by fragmented records, which can result in additional burden on caregivers. The immediate task is to improve follow-up tracking and verify the outcome.
Affected population: 15
Scope: LOCAL",HIGH,15,LOCAL,CRITICAL,0.3333529743269687
"Chamoli, Uttarakhand क्षेत्र में school transport से जुड़ी समस्या सामने आई है। drivers बताते हैं कि सेवा is reported inconsistently और multiple responsible stakeholders के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर reduced service continuity के रूप में पड़ सकता है, खासकर dry season के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और strengthen community reporting है।
Affected population: 120
Scope: STATE",CRITICAL,120,STATE,HIGH,0.33323084786252616
"Rudraprayag, Uttarakhand क्षेत्र में forest degradation से जुड़ी समस्या सामने आई है। tourism workers बताते हैं कि सेवा returns after temporary fixes और seasonal demand के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर longer waiting times के रूप में पड़ सकता है, खासकर holiday period के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और prioritize inspections है।
Affected population: 120
Scope: STATE",MEDIUM,120,STATE,LOW,0.3331112650705028
"Community feedback from Pauri Garhwal points to route planning. People say the service works for some users but not others, but the reason is not uniform: in this case, seasonal demand. The result is delayed decision-making. Rather than assume a technology solution, the first question is whether teams can evaluate a research prototype.
Affected population: 800
Scope: DISTRICT",HIGH,800,DISTRICT,MEDIUM,0.33287676414470085
"A community report describes entrepreneurship in Guwahati, Assam. Small businesses say the service causes avoidable travel, particularly during harvest period. The operating context is affected by fragmented records, which can result in additional burden on caregivers. The immediate task is to evaluate a research prototype and verify the outcome.
Affected population: 50
Scope: BLOCK",MEDIUM,50,BLOCK,LOW,0.33283636798591393
"Community feedback from Kohima points to culverts. People say the service becomes unreliable after disruption, but the reason is not uniform: in this case, limited field data. The result is reduced service continuity. Rather than assume a technology solution, the first question is whether teams can prioritize inspections.
Affected population: 800
Scope: DISTRICT",CRITICAL,800,DISTRICT,MEDIUM,0.3326428555764084
"Community feedback from Agra points to recycling. People say the service requires several manual follow-ups, but the reason is not uniform: in this case, scattered settlements. The result is delayed decision-making. Rather than assume a technology solution, the first question is whether teams can improve follow-up tracking.
Affected population: 10000
Scope: CITY",HIGH,10000,CITY,CRITICAL,0.3325816546998382
"Guwahati, Assam ke rural context mein livelihood diversification ka issue report hua hai. Students bolte hain ki service causes avoidable travel hai, aur variable resource availability ki wajah se response stable rakhna difficult hota hai. Iska effect additional burden on caregivers ke form mein dikhta hai, especially peak visitor period ke time. First step collect field evidence hona chahiye.
Affected population: 800
Scope: DISTRICT",HIGH,800,DISTRICT,LOW,0.3323463390905522
"Guwahati, Assam क्षेत्र में biodiversity से जुड़ी समस्या सामने आई है। local employers बताते हैं कि सेवा is difficult to monitor और limited field data के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर lost productive time के रूप में पड़ सकता है, खासकर dry season के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और improve follow-up tracking है।
Affected population: 15
Scope: LOCAL",LOW,15,LOCAL,CRITICAL,0.3321840932590702
"Kohima, Nagaland क्षेत्र में hospital infrastructure से जुड़ी समस्या सामने आई है। commuters बताते हैं कि सेवा works for some users but not others और scattered settlements के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर higher operating effort for local teams के रूप में पड़ सकता है, खासकर school term के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और strengthen community reporting है।
Affected population: 2500
Scope: WARD",CRITICAL,2500,WARD,LOW,0.3321687968601494
"Gorakhpur, Uttar Pradesh क्षेत्र में youth employment से जुड़ी समस्या सामने आई है। students बताते हैं कि सेवा is hard to verify from available records और reactive maintenance के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर additional burden on caregivers के रूप में पड़ सकता है, खासकर dry season के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और reorganize collection or service routes है।
Affected population: 15
Scope: LOCAL",MEDIUM,15,LOCAL,LOW,0.3320797175397179
"Pithoragarh, Uttarakhand क्षेत्र में air pollution से जुड़ी समस्या सामने आई है। self-help groups बताते हैं कि सेवा becomes unpredictable at peak times और low network connectivity के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर reduced service continuity के रूप में पड़ सकता है, खासकर post-disruption recovery के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और prioritize inspections है।
Affected population: 50
Scope: BLOCK",HIGH,50,BLOCK,LOW,0.33196116757491284
"A community report describes entrepreneurship in Vadodara, Gujarat. Small businesses say the service is reported inconsistently, particularly during ordinary operating days. The operating context is affected by low network connectivity, which can result in longer waiting times. The immediate task is to coordinate the responsible teams and verify the outcome.
Affected population: 15
Scope: LOCAL",CRITICAL,15,LOCAL,HIGH,0.3319491410308074
"A community report describes internet access in Kohima, Nagaland. Shopkeepers say the service changes sharply by season, particularly during winter months. The operating context is affected by scattered settlements, which can result in higher operating effort for local teams. The immediate task is to strengthen community reporting and verify the outcome.
Affected population: 15
Scope: LOCAL",CRITICAL,15,LOCAL,LOW,0.3319396406137421
"Community feedback from Gorakhpur points to disaster mapping. People say the service is hard to verify from available records, but the reason is not uniform: in this case, weak monitoring. The result is higher access costs. Rather than assume a technology solution, the first question is whether teams can reorganize collection or service routes.
Affected population: 2500
Scope: WARD",MEDIUM,2500,WARD,LOW,0.33193202089211465
"A community report describes community taps in Kohima, Nagaland. Students say the service changes sharply by season, particularly during summer peak. The operating context is affected by long travel distances, which can result in higher access costs. The immediate task is to review the operating schedule and verify the outcome.
Affected population: 10000
Scope: CITY",LOW,10000,CITY,CRITICAL,0.3318613349823312
"Guwahati, Assam क्षेत्र में vocational training से जुड़ी समस्या सामने आई है। commuters बताते हैं कि सेवा is hard to verify from available records और low network connectivity के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर delayed decision-making के रूप में पड़ सकता है, खासकर ordinary operating days के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और prioritize inspections है।
Affected population: 120
Scope: STATE",LOW,120,STATE,MEDIUM,0.3317814043080714
"Guwahati, Assam ke rural context mein rural mobility ka issue report hua hai. Small businesses bolte hain ki service creates repeated delays hai, aur limited field data ki wajah se response stable rakhna difficult hota hai. Iska effect delayed decision-making ke form mein dikhta hai, especially summer peak ke time. First step collect field evidence hona chahiye.
Affected population: 300
Scope: VILLAGE",HIGH,300,VILLAGE,LOW,0.3316575606964337
"A community report describes digital learning in Kohima, Nagaland. Caregivers say the service requires several manual follow-ups, particularly during dry season. The operating context is affected by limited field data, which can result in higher access costs. The immediate task is to coordinate the responsible teams and verify the outcome.
Affected population: 50
Scope: BLOCK",MEDIUM,50,BLOCK,HIGH,0.3316032971024663
"Kohima, Nagaland क्षेत्र में laboratory access से जुड़ी समस्या सामने आई है। school staff बताते हैं कि सेवा returns after temporary fixes और seasonal demand के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर unequal access for people with fewer alternatives के रूप में पड़ सकता है, खासकर peak visitor period के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और establish a clearer escalation path है।
Affected population: 120
Scope: STATE",LOW,120,STATE,HIGH,0.3315557577818949
"Guwahati, Assam क्षेत्र में emergency logistics से जुड़ी समस्या सामने आई है। patients बताते हैं कि सेवा lacks timely status information और long travel distances के कारण स्थिति को स्थिर रखना कठिन हो जाता है। इसका असर longer waiting times के रूप में पड़ सकता है, खासकर harvest period के दौरान। पहला कदम स्थानीय स्थिति की पुष्टि करना और establish a clearer escalation path है।
Affected population: 120
Scope: STATE",MEDIUM,120,STATE,HIGH,0.3314718077539361
"Surat, Gujarat ke semi-urban context mein school access ka issue report hua hai. Municipal workers bolte hain ki service creates repeated delays hai, aur long travel distances ki wajah se response stable rakhna difficult hota hai. Iska effect reduced service continuity ke form mein dikhta hai, especially monsoon season ke time. First step improve follow-up tracking hona chahiye.
Affected population: 15
Scope: LOCAL",MEDIUM,15,LOCAL,CRITICAL,0.33129117132370794
